Dataset	Group_of_genes	GO.ID	Term	Annotated	Significant	Expected	classicFisher
Bivalvia	Group_1_+_Group_2	GO:0060255	regulation_of_macromolecule_metabolic_process	737	59	31.91	0.04525
Bivalvia	Group_1_+_Group_2	GO:0080090	regulation_of_primary_metabolic_process	673	53	29.14	0.01818
Bivalvia	Group_1_+_Group_2	GO:0019219	regulation_of_nucleobase-containing_compound_metabolic_process	541	41	23.42	0.02388
Bivalvia	Group_1_+_Group_2	GO:0006351	DNA-templated_transcription	571	39	24.72	0.03767
Bivalvia	Group_1_+_Group_2	GO:0032774	RNA_biosynthetic_process	579	39	25.07	0.04490
Bivalvia	Group_1_+_Group_2	GO:0051252	regulation_of_RNA_metabolic_process	517	37	22.38	0.02719
Bivalvia	Group_1_+_Group_2	GO:0006355	regulation_of_DNA-templated_transcription	490	35	21.22	0.03751
Bivalvia	Group_1_+_Group_2	GO:2001141	regulation_of_RNA_biosynthetic_process	491	35	21.26	0.03844
Bivalvia	Group_1_+_Group_2	GO:0006950	response_to_stress	370	33	16.02	0.01949
Bivalvia	Group_1_+_Group_2	GO:0032502	developmental_process	261	27	11.3	0.04445
Bivalvia	Group_1_+_Group_2	GO:0006468	protein_phosphorylation	345	23	14.94	0.02483
Bivalvia	Group_1_+_Group_2	GO:0031325	positive_regulation_of_cellular_metabolic_process	125	17	5.41	0.00801
Bivalvia	Group_1_+_Group_2	GO:0010604	positive_regulation_of_macromolecule_metabolic_process	151	17	6.54	0.04047
Bivalvia	Group_1_+_Group_2	GO:0051172	negative_regulation_of_nitrogen_compound_metabolic_process	117	16	5.07	0.00814
Bivalvia	Group_1_+_Group_2	GO:0051173	positive_regulation_of_nitrogen_compound_metabolic_process	137	15	5.93	0.02454
Bivalvia	Group_1_+_Group_2	GO:0006310	DNA_recombination	66	14	2.86	0.00087
Bivalvia	Group_1_+_Group_2	GO:0048513	animal_organ_development	83	12	3.59	0.04088
Bivalvia	Group_1_+_Group_2	GO:0010629	negative_regulation_of_gene_expression	78	11	3.38	0.00048
Bivalvia	Group_1_+_Group_2	GO:0023051	regulation_of_signaling	133	11	5.76	0.02872
Bivalvia	Group_1_+_Group_2	GO:0045934	negative_regulation_of_nucleobase-containing_compound_metabolic_process	64	11	2.77	0.03637
Bivalvia	Group_1_+_Group_2	GO:0009605	response_to_external_stimulus	90	11	3.9	0.04544
Bivalvia	Group_1_+_Group_2	GO:0044419	biological_process_involved_in_interspecies_interaction_between_organisms	63	11	2.73	0.04761
Bivalvia	Group_1_+_Group_2	GO:0006915	apoptotic_process	95	10	4.11	0.00768
Bivalvia	Group_1_+_Group_2	GO:0009966	regulation_of_signal_transduction	120	10	5.2	0.03451
Bivalvia	Group_1_+_Group_2	GO:0006417	regulation_of_translation	52	9	2.25	0.00033
Bivalvia	Group_1_+_Group_2	GO:0045892	negative_regulation_of_DNA-templated_transcription	59	9	2.55	0.02968
Bivalvia	Group_1_+_Group_2	GO:1902679	negative_regulation_of_RNA_biosynthetic_process	59	9	2.55	0.02968
Bivalvia	Group_1_+_Group_2	GO:0009607	response_to_biotic_stimulus	55	9	2.38	0.03211
Bivalvia	Group_1_+_Group_2	GO:0051253	negative_regulation_of_RNA_metabolic_process	61	9	2.64	0.03719
Bivalvia	Group_1_+_Group_2	GO:0006952	defense_response	58	9	2.51	0.04163
Bivalvia	Group_1_+_Group_2	GO:0006302	double-strand_break_repair	52	9	2.25	0.04860
Bivalvia	Group_1_+_Group_2	GO:0080134	regulation_of_response_to_stress	52	9	2.25	0.04860
Bivalvia	Group_1_+_Group_2	GO:0010564	regulation_of_cell_cycle_process	43	8	1.86	0.00669
Bivalvia	Group_1_+_Group_2	GO:0042981	regulation_of_apoptotic_process	70	8	3.03	0.01024
Bivalvia	Group_1_+_Group_2	GO:0043067	regulation_of_programmed_cell_death	72	8	3.12	0.01205
Bivalvia	Group_1_+_Group_2	GO:0048584	positive_regulation_of_response_to_stimulus	61	8	2.64	0.03998
Bivalvia	Group_1_+_Group_2	GO:0071310	cellular_response_to_organic_substance	52	7	2.25	0.00664
Bivalvia	Group_1_+_Group_2	GO:0010628	positive_regulation_of_gene_expression	34	7	1.47	0.02662
Bivalvia	Group_1_+_Group_2	GO:0045944	positive_regulation_of_transcription_by_RNA_polymerase_II	38	6	1.65	0.00535
Bivalvia	Group_1_+_Group_2	GO:1901987	regulation_of_cell_cycle_phase_transition	29	6	1.26	0.02368
Bivalvia	Group_1_+_Group_2	GO:2000779	regulation_of_double-strand_break_repair	11	6	0.48	0.02430
Bivalvia	Group_1_+_Group_2	GO:0051247	positive_regulation_of_protein_metabolic_process	54	6	2.34	0.02818
Bivalvia	Group_1_+_Group_2	GO:0051248	negative_regulation_of_protein_metabolic_process	55	6	2.38	0.03053
Bivalvia	Group_1_+_Group_2	GO:0098657	import_into_cell	56	6	2.42	0.03300
Bivalvia	Group_1_+_Group_2	GO:1902531	regulation_of_intracellular_signal_transduction	59	6	2.55	0.04118
Bivalvia	Group_1_+_Group_2	GO:0044770	cell_cycle_phase_transition	35	6	1.52	0.04666
Bivalvia	Group_1_+_Group_2	GO:0000122	negative_regulation_of_transcription_by_RNA_polymerase_II	31	5	1.34	0.00988
Bivalvia	Group_1_+_Group_2	GO:0006402	mRNA_catabolic_process	35	5	1.52	0.01640
Bivalvia	Group_1_+_Group_2	GO:1901990	regulation_of_mitotic_cell_cycle_phase_transition	18	5	0.78	0.02436
Bivalvia	Group_1_+_Group_2	GO:1901698	response_to_nitrogen_compound	41	5	1.78	0.03072
Bivalvia	Group_1_+_Group_2	GO:0006401	RNA_catabolic_process	44	5	1.91	0.04013
Bivalvia	Group_1_+_Group_2	GO:0030155	regulation_of_cell_adhesion	11	4	0.48	0.00089
Bivalvia	Group_1_+_Group_2	GO:0048568	embryonic_organ_development	12	4	0.52	0.00129
Bivalvia	Group_1_+_Group_2	GO:0007517	muscle_organ_development	13	4	0.56	0.00180
Bivalvia	Group_1_+_Group_2	GO:0051607	defense_response_to_virus	13	4	0.56	0.00180
Bivalvia	Group_1_+_Group_2	GO:0010569	regulation_of_double-strand_break_repair_via_homologous_recombination	5	4	0.22	0.00537
Bivalvia	Group_1_+_Group_2	GO:0042274	ribosomal_small_subunit_biogenesis	21	4	0.91	0.01148
Bivalvia	Group_1_+_Group_2	GO:0043066	negative_regulation_of_apoptotic_process	28	4	1.21	0.03102
Bivalvia	Group_1_+_Group_2	GO:0043069	negative_regulation_of_programmed_cell_death	29	4	1.26	0.03480
