Gene_family	PANTHER/CDD	ID	Description
Dmrt	CDD	gnl|CDD|214606	Doublesex_DNA-binding_motif
Dmrt	CDD	gnl|CDD|425850	DM_DNA_binding_domain
Dmrt	PANTHER	PTHR12322	DOUBLESEX_AND_MAB-3_RELATED_TRANSCRIPTION_FACTOR__DMRT
Dmrt	PANTHER	PTHR12322:SF115	PROTEIN_CBR-MAB-23
Dmrt	PANTHER	PTHR12322:SF116	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_1
Dmrt	PANTHER	PTHR12322:SF118	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_DMD-4
Dmrt	PANTHER	PTHR12322:SF123	DOUBLESEX-MAB_RELATED_99B
Dmrt	PANTHER	PTHR12322:SF53	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_2
Dmrt	PANTHER	PTHR12322:SF71	DOUBLESEX-_AND_MAB-3-RELATED_TRANSCRIPTION_FACTOR_A1
Dmrt	PANTHER	PTHR16897:SF2	STRESS_RESPONSE_PROTEIN_NST1
Dmrt	PANTHER	PTHR46888:SF11	RIBONUCLEASE_H
Sox	CDD	gnl|CDD|432488	SOX_transcription_factor
Sox	CDD	gnl|CDD|432558	Sox_developmental_protein_N_terminal
Sox	CDD	gnl|CDD|438790	high_mobility_group_(HMG)-box_found_in_group_B_SRY-related_high-mobility_group_(HMG)_box_(Sox)_transcription_factors
Sox	CDD	gnl|CDD|438820	high_mobility_group_(HMG)-box_found_in_sex-determining_region_Y_(SRY)-box_(SOX)_family_transcription_factors
Sox	CDD	gnl|CDD|438837	high_mobility_group_(HMG)-box_found_in_group_A,_group_B_and_group_G_of_SRY-related_high-mobility_group_(HMG)_box_(Sox)_transcription_factors
Sox	CDD	gnl|CDD|438838	high_mobility_group_(HMG)-box_found_in_group_C_SRY-related_high-mobility_group_(HMG)_box_(Sox)_transcription_factors
Sox	CDD	gnl|CDD|438839	high_mobility_group_(HMG)-box_found_in_group_D_SRY-related_high-mobility_group_(HMG)_box_(Sox)_transcription_factors
Sox	CDD	gnl|CDD|438840	high_mobility_group_(HMG)-box_found_in_group_E_SRY-related_high-mobility_group_(HMG)_box_(Sox)_transcription_factors
Sox	CDD	gnl|CDD|438841	high_mobility_group_(HMG)-box_found_in_group_F_SRY-related_high-mobility_group_(HMG)_box_(Sox)_transcription_factors
Sox	CDD	gnl|CDD|438842	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_30_(SOX30)_and_similar_proteins
Sox	CDD	gnl|CDD|438843	high_mobility_group_(HMG)-box_found_in_sex-determining_region_Y_protein_(SRY)_and_similar_proteins
Sox	CDD	gnl|CDD|438844	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_15_(SOX15)_and_similar_proteins
Sox	CDD	gnl|CDD|438845	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_4_(SOX4)_and_similar_proteins
Sox	CDD	gnl|CDD|438846	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_11_(SOX11)_and_similar_proteins
Sox	CDD	gnl|CDD|438847	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_12_(SOX12)_and_similar_proteins
Sox	CDD	gnl|CDD|438849	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_7_(SOX7)_and_similar_proteins
Sox	CDD	gnl|CDD|438850	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_17_(SOX17)_and_similar_proteins
Sox	CDD	gnl|CDD|438851	high_mobility_group_(HMG)-box_found_in_sex_determining_region_Y_(SRY)-box_18_(SOX18)_and_similar_proteins
Sox	PANTHER	PTHR10270:SF107	TRANSCRIPTION_FACTOR_SOX-14
Sox	PANTHER	PTHR10270:SF161	SOX_DOMAIN-CONTAINING_PROTEIN_DICHAETE-RELATED
Sox	PANTHER	PTHR10270:SF199	SEX-DETERMINING_REGION_Y_PROTEIN
Sox	PANTHER	PTHR10270:SF231	TRANSCRIPTION_FACTOR_SOX-2
Sox	PANTHER	PTHR10270:SF27	TRANSCRIPTION_FACTOR_SOX-4
Sox	PANTHER	PTHR10270:SF313	TRANSCRIPTION_FACTOR_SOX-21
Sox	PANTHER	PTHR10270:SF315	TRANSCRIPTION_FACTOR_SOX-1A-RELATED
Sox	PANTHER	PTHR10270:SF317	TRANSCRIPTION_FACTOR_SOX-15-RELATED
Sox	PANTHER	PTHR10270:SF322	TRANSCRIPTION_FACTOR_SOX-3
Sox	PANTHER	PTHR10270:SF324	TRANSCRIPTION_FACTOR_SOX-3
Sox	PANTHER	PTHR10270:SF326	TRANSCRIPTION_FACTOR_SOX
Sox	PANTHER	PTHR10270	SOX_TRANSCRIPTION_FACTOR
Sox	PANTHER	PTHR45789	FI18025P1
Sox	PANTHER	PTHR45789:SF2	FI18025P1
Sox	PANTHER	PTHR45803:SF1	TRANSCRIPTION_FACTOR_SOX-9
Sox	PANTHER	PTHR45803:SF2	TRANSCRIPTION_FACTOR_SOX-8
Sox	PANTHER	PTHR45803:SF5	SOX100B
Sox	PANTHER	PTHR45803	SOX100B
Sox	PANTHER	PTHR47279:SF1	TRANSCRIPTION_FACTOR_SOX-30
Sox	PANTHER	PTHR47279	TRANSCRIPTION_FACTOR_SOX-30
Fox	CDD	gnl|CDD|410788	Forkhead_(FH)_domain_found_in_Forkhead_box_(FOX)_family_of_transcription_factors_and_similar_proteins
Fox	CDD	gnl|CDD|410789	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_A_(FOXA)_subfamily
Fox	CDD	gnl|CDD|410790	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_B_(FOXB)_subfamily
Fox	CDD	gnl|CDD|410791	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_C_(FOXC)_subfamily
Fox	CDD	gnl|CDD|410792	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_D_(FOXD)_subfamily
Fox	CDD	gnl|CDD|410793	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_E_(FOXE)_subfamily
Fox	CDD	gnl|CDD|410794	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_F_(FOXF)_subfamily
Fox	CDD	gnl|CDD|410795	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_G_(FOXG)_subfamily
Fox	CDD	gnl|CDD|410796	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_H_(FOXH)_subfamily
Fox	CDD	gnl|CDD|410797	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_J1_(FOXJ1)_and_similar_proteins
Fox	CDD	gnl|CDD|410798	Forkhead_(FH)_domain_found_in_Forkhead_box_proteins,_FOXJ2,_FOXJ3_and_similar_proteins
Fox	CDD	gnl|CDD|410799	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_I_(FOXI)_subfamily
Fox	CDD	gnl|CDD|410800	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_K_(FOXK)_subfamily
