Species_ID	Gene_ID	Group	Annotation
Agam	XP_061505148.1	Dmrt	Dsx
Dere	XP_026836830.1	Dmrt	Dsx
Dkik	XP_041630485.1	Dmrt	Dsx
Dmir	XP_017142875.1	Dmrt	Dsx
Dgri	XP_043071113.1	Dmrt	Dsx
Dsec	XP_002038750.1	Dmrt	Dsx
Dser	XP_020809854.1	Dmrt	Dsx
Dele	XP_017119779.1	Dmrt	Dsx
Dalb	XP_034117252.2	Dmrt	Dsx
Dwil	XP_023035845.1	Dmrt	Dsx
Dhyd	XP_023178918.2	Dmrt	Dsx
Dmel	NP_001262353.1	Dmrt	Dsx
Dpse	XP_033235910.1	Dmrt	Dsx
Dari	XP_017874634.1	Dmrt	Dsx
Dbus	XP_017847641.1	Dmrt	Dsx
Dbip	XP_017088683.2	Dmrt	Dsx
Dsuz	XP_036675224.1	Dmrt	Dsx
Dsuz	XP_036672758.1	Dmrt	Dsx
Dana	XP_014766033.1	Dmrt	Dsx
Dbus	XP_017844894.1	Dmrt	Dmrt-99B
Dmel	NP_524549.1	Dmrt	Dmrt-99B
Dere	XP_001981330.1	Dmrt	Dmrt-99B
Dwil	XP_023034529.1	Dmrt	Dmrt-99B
Dkik	XP_017021883.1	Dmrt	Dmrt-99B
Dser	XP_020811324.1	Dmrt	Dmrt-99B
Dalb	XP_051862400.1	Dmrt	Dmrt-99B
Dsuz	XP_036674364.1	Dmrt	Dmrt-99B
Dsec	XP_002037224.1	Dmrt	Dmrt-99B
Dele	XP_017131043.1	Dmrt	Dmrt-99B
Dbip	XP_017099960.2	Dmrt	Dmrt-99B
Dmir	XP_017145289.1	Dmrt	Dmrt-99B
Dpse	XP_001357766.3	Dmrt	Dmrt-99B
Dhyd	XP_023160825.2	Dmrt	Dmrt-99B
Dari	XP_017869153.1	Dmrt	Dmrt-99B
Dgri	XP_001996117.1	Dmrt	Dmrt-99B
Dhyd	XP_023160826.2	Dmrt	Dmrt-99B
Dana	XP_001964762.1	Dmrt	Dmrt-99B
Agam	XP_061501728.1	Dmrt	Dmrt-93B
Dalb	XP_034117959.2	Dmrt	Dmrt-93B
Dpse	XP_001360059.2	Dmrt	Dmrt-93B
Dkik	XP_017036725.1	Dmrt	Dmrt-93B
Dbip	XP_017102685.2	Dmrt	Dmrt-93B
Dbus	XP_017844858.1	Dmrt	Dmrt-93B
Dsuz	XP_036672900.1	Dmrt	Dmrt-93B
Dser	XP_020817775.1	Dmrt	Dmrt-93B
Dari	XP_017874225.1	Dmrt	Dmrt-93B
Dgri	XP_001990371.1	Dmrt	Dmrt-93B
Dwil	XP_002073560.1	Dmrt	Dmrt-93B
Dmel	NP_524428.1	Dmrt	Dmrt-93B
Dmir	XP_017140144.1	Dmrt	Dmrt-93B
Dsec	XP_002044276.1	Dmrt	Dmrt-93B
Dele	XP_017118537.1	Dmrt	Dmrt-93B
Dana	XP_001954937.1	Dmrt	Dmrt-93B
Dere	XP_001979344.2	Dmrt	Dmrt-93B
Dmel	NP_511146.2	Dmrt	Dmrt-11E
Dsec	XP_002042926.2	Dmrt	Dmrt-11E
Dwil	XP_002075263.1	Dmrt	Dmrt-11E
Dpse	XP_001355530.3	Dmrt	Dmrt-11E
Dbip	XP_017089150.2	Dmrt	Dmrt-11E
Dser	XP_020808350.1	Dmrt	Dmrt-11E
Dmir	XP_017136076.1	Dmrt	Dmrt-11E
Dana	XP_032309371.1	Dmrt	Dmrt-11E
Dere	XP_015010652.2	Dmrt	Dmrt-11E
Dbus	XP_017850127.1	Dmrt	Dmrt-11E
Dsuz	XP_016924080.2	Dmrt	Dmrt-11E
Dalb	XP_034099986.1	Dmrt	Dmrt-11E
Dgri	XP_043071903.1	Dmrt	Dmrt-11E
Dele	XP_017112743.2	Dmrt	Dmrt-11E
Dhyd	XP_023180022.1	Dmrt	Dmrt-11E
Dkik	XP_017034619.2	Dmrt	Dmrt-11E
Dari	XP_017869421.1	Dmrt	Dmrt-11E
Agam	XP_310668.5	Dmrt	N/A
Dkik	XP_017022631.1	Fox	Fox-3F
Dsec	XP_002037072.2	Fox	Fox-3F
Dser	XP_020800708.1	Fox	Fox-3F
Dbip	XP_017087408.2	Fox	Fox-3F
Dere	XP_026837609.1	Fox	Fox-3F
Dana	XP_014759802.1	Fox	Fox-3F
Dpse	XP_033238487.1	Fox	Fox-3F
Dmir	XP_017145653.1	Fox	Fox-3F
Dmel	NP_001356931.1	Fox	Fox-3F
Dele	XP_017112308.1	Fox	Fox-3F
Dsuz	XP_016942113.1	Fox	Fox-3F
Dwil	XP_046868406.1	Fox	N/A
Dbus	XP_033150245.1	Fox	N/A
Dhyd	XP_030079965.1	Fox	N/A
Dari	XP_017869433.1	Fox	N/A
Dgri	XP_043071916.1	Fox	N/A
Dalb	XP_051860438.1	Fox	N/A
Agam	XP_061503465.1	Fox	Ches-1
Dbip	XP_017091473.2	Fox	Ches-1
Dkik	XP_017022654.1	Fox	Ches-1
Dalb	XP_034097387.1	Fox	Ches-1
Dhyd	XP_023174414.2	Fox	Ches-1
Dana	XP_032308510.1	Fox	Ches-1
Dwil	XP_023030939.1	Fox	Ches-1
Dser	XP_020805864.1	Fox	Ches-1
Dgri	XP_032593899.1	Fox	Ches-1
Dbus	XP_017852827.2	Fox	Ches-1
Dari	XP_017869569.1	Fox	Ches-1
Dpse	XP_033241472.1	Fox	Ches-1
Dmir	XP_033252440.1	Fox	Ches-1
Agam	XP_061505879.1	Fox	Jumeau
Dalb	XP_034114927.1	Fox	Jumeau
Dgri	XP_001990048.1	Fox	Jumeau
Dmir	XP_033244968.1	Fox	Jumeau
Dsec	XP_002031751.2	Fox	Jumeau
Dser	XP_020814051.1	Fox	Jumeau
Dari	XP_017867184.1	Fox	Jumeau
