DMRT_GENE_FAMILY	DMRT_GENE_FAMILY	DMRT_GENE_FAMILY	DMRT_GENE_FAMILY		
Homo_sapiens	Drosophila_melanogaster	Caenorhabditis_elegans	Group
DMRT1_(NP_068770.2)	-	-	1
DMRT2_(NP_006548.1)	dmrt11E_(NP_511146.2)	-	2
DMRT3_(NP_067063.1)	dmrt93B_(NP_524428.1)	dmd-4_(NP_510466.1)	3
DMRT4/A1_(NP_071443.2)	dmrt99b_(NP_524549.1)	dmd-5_(NP_495138.2)	A1-2
DMRT5/A2_(NP_115486.1)	-	-	-
DMRT6/B1_(NP_149056.1)	-	-	-
DMRT7/C2_(NP_001035373.1)	-	-	-
DMRT8/C1_(NP_149042.2)	-	-	-
-	dsx_(NP_731197.1)	-	-
-	-	mab3_(NP_001256882.1)	-
-	-	dmd-3_(NP_001256883.1)	-
-	-	dmd-6_(NP_001370045.1)	-
-	-	dmd-7_(NP_741551.1)	-
-	-	dmd-8_(NP_503176.2)	-
-	-	dmd-9_(NP_500305.1)	-
-	-	dmd-11_(NP_001379162.1)	-
-	-	mab-23_(NP_001041089.1)	-
SOX_GENE_FAMILY	SOX_GENE_FAMILY	SOX_GENE_FAMILY	SOX_GENE_FAMILY
Homo_sapiens	Drosophila_melanogaster	Caenorhabditis_elegans	Group
SRY_(NP_003131.1)	-	-	A
SOX3_(NP_005625.2)	dichaete_(NP_524066.1)	sox3_(NP_510439.1)	B1
SOX2_(NP_003097.1)	soxN_(NP_524735.1)	sox2_(NP_741836.1)	
SOX1_(NP_005977.2)	-	-	
SOX14_(NP_004180.1)	sox21a_(NP_648694.1)	-	B2
SOX21_(NP_009015.1)	sox21b_(NP_648695.1)	-	
SOX11_(NP_003099.1)	sox14_(NP_476894.1)	sem-2_(NP_740846.1)	C
SOX12_(NP_008874.2)	-	-	
SOX4_(NP_003098.1)	-	-	
SOX13_(NP_005677.2)	sox102f_(NP_726612.1)	egl-13_(NP_001024918.1)	D
SOX5_(NP_008871.3)	-	-	
SOX6_(NP_001139291.2)	-	-	
SOX9_(NP_000337.1)	sox110b_(NP_651839.1)	-	E
SOX8_(NP_055402.2)	-	-	
SOX10_(NP_008872.1)	-	-	
SOX18_(NP_060889.1)	sox15_(NP_523739.2)	-	F
SOX7_(NP_113627.1)	-	-	
SOX17_(NP_071899.1)	-	-	
SOX15_(NP_008873.1)	-	-	G
SOX30_(NP_848511.1)	-	-	H
FOX_GENE_FAMILY	FOX_GENE_FAMILY	FOX_GENE_FAMILY	FOX_GENE_FAMILY		
Homo_sapiens	Drosophila_melanogaster	Caenorhabditis_elegans	Group
FOXA1/HNF-3α_(NP_004487.2)	forkhead/fkh_(NP_524542.1)	pha-4/Ce-fkh1_(NP_001041114.1)	A
FOXA2/HNF-3β_(NP_068556.2)	-	-	
FOXA3/HNF-3γ_(NP_004488.2)	-	-	
FOXB1_(NP_036314.2)	fd96Ca/fd4_(NP_524495.1)	lin-31_(NP_494704.1)	B
FOXB2_(NP_001013757.1)	fd96Cb/fd5_(NP_524496.1)	-	
FOXC1/MF1/FKHL7_(NP_001444.2)	crocodile/fd1_(NP_524202.1)	-	C
FOXC2/MFH1_(NP_005242.1)	-	-	
