Species_ID	Gene_ID	Group	Annotation	Main_catalytic_domain_(Pssm-ID)	Additional_domains_(Pssm-ID)	Notes
Airc	Contig6.279	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Apur	scaffold.235.403	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Cang	XP_052698016.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Cari	EVM0027346.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Cgig	XP_011441049.2	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Cvir	XP_022333988.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Gaeg	XP_041358115.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Hbia	M00000013645	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Hbia	M00000045261	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Hruf	XP_046372338.2	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Hruf	XP_046335704.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Mcal	XP_052068518.1	Dmrt	Dmrt-OG4/NA	Doublesex_DNA-binding_motif_(214606)	Doublesex_DNA-binding_motif_(214606)	Manually_annotated_as_Dmrt-1L
Mcor	CAC5397186.1	Dmrt	Dmrt-OG4/NA	Doublesex_DNA-binding_motif_(214606)	Doublesex_DNA-binding_motif_(214606)	Manually_annotated_as_Dmrt-1L
Medu	CAG2232556.1	Dmrt	Dmrt-OG4/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Mgal	VDI03798.1	Dmrt	Dmrt-OG4/NA	Doublesex_DNA-binding_motif_(214606)	Doublesex_DNA-binding_motif_(214606;_partial)	Manually_annotated_as_Dmrt-1L
Mmar	MMAM00000008302	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Mner	g120437.t1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Obim	XP_014782618.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Oedu	XP_048736174.2	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Osin	XP_036368911.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Osin	XP_036366646.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Osin	XP_029647701.2	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Pcan	XP_025090051.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Pcan	XP_025111744.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	Doublesex_DNA-binding_motif_(214606)	Manually_annotated_as_Dmrt-1L
Pmar	DN30657.c0.g1.i1.p1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Pmax	XP_033733655.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Ppur	DN2292.c0.g1.i1.p1	Dmrt	Dmrt-OG4/NA	Doublesex_DNA-binding_motif_(214606)	Doublesex_DNA-binding_motif_(214606;_partial)	Manually_annotated_as_Dmrt-1L
Pstr	KAK3599448.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Pvir	s01850g168	Dmrt	Dmrt-OG4/NA	Doublesex_DNA-binding_motif_(214606)	Doublesex_DNA-binding_motif_(214606;_partial)	Manually_annotated_as_Dmrt-1L
Pyes	XP_021353714.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Sbro	EVM0020695.1	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Sglo	Sgl011295	Dmrt	Dmrt-OG0/NA	Doublesex_DNA-binding_motif_(214606)	N/A	Manually_annotated_as_Dmrt-1L
Airc	Contig172.94	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Apec	DN21321.c1.g1.i1.p1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Bgla	XP_055887190.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Cpli	DN116454.c0.g1.i1.p1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Gaeg	XP_041359971.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Hruf	XP_048255484.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270602,_270601)	-
Mcor	CAC5404148.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
