Species	ID	Family	Subgenus	Type	BUSCO_statistics_(diptera_odb10)	NCBI_acc._no.	Reference
Anopheles_gambiae	Agam	Culicidae	Cellia	Genome	C:99.4%[S:99.1%,D:0.3%],F:0.1%,M:0.5%	GCF_943734735.2	Habtewold_et_al.,_2023
Drosophila_sechellia	Dsec	Drosophilidae	Sophophora	Genome	C:99.9%[S:99.3%,D:0.6%],F:0.0%,M:0.1%	GCF_004382195.2	Chakraborty_et_al.,_2021
Drosophila_melanogaster	Dmel	Drosophilidae	Sophophora	Genome	C:100.0%[S:99.7%,D:0.3%],F:0.0%,M:0.0%	GCF_000001215.4	Hoskins_et_al.,_2015
Drosophila_erecta	Dere	Drosophilidae	Sophophora	Genome	C:99.9%[S:99.5%,D:0.4%],F:0.0%,M:0.1%	GCF_003286155.1	Dong_et_al.,_2022
Drosophila_suzukii	Dsuz	Drosophilidae	Sophophora	Genome	C:99.7%[S:96.5%,D:3.2%],F:0.1%,M:0.2%	GCF_013340165.1	Paris_et_al.,_2020
Drosophila_elegans	Dele	Drosophilidae	Sophophora	Genome	C:99.8%[S:99.5%,D:0.3%],F:0.1%,M:0.1%	GCF_018152505.1	Kim_et_al.,_2021
Drosophila_serrata	Dser	Drosophilidae	Sophophora	Genome	C:99.9%[S:97.5%,D:2.4%],F:0.0%,M:0.1%	GCF_002093755.2	Allen_et_al.,_2017
Drosophila_kikkawai	Dkik	Drosophilidae	Sophophora	Genome	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%	GCF_018152535.1	Kim_et_al.,_2021
Drosophila_bipectinata	Dbip	Drosophilidae	Sophophora	Genome	C:99.9%[S:99.2%,D:0.7%],F:0.0%,M:0.1%	GCF_018153845.1	Kim_et_al.,_2021
Drosophila_ananassae	Dana	Drosophilidae	Sophophora	Genome	C:99.6%[S:99.3%,D:0.3%],F:0.0%,M:0.4%	GCF_017639315.1	Tvedte_et_al.,_2021
Drosophila_pseudoobscura	Dpse	Drosophilidae	Sophophora	Genome	C:99.7%[S:98.8%,D:0.9%],F:0.1%,M:0.2%	GCF_009870125.1	Liao_et_al.,_2021
Drosophila_miranda	Dmir	Drosophilidae	Sophophora	Genome	C:99.8%[S:85.6%,D:14.2%],F:0.1%,M:0.1%	GCF_003369915.1	Mahajan_et_al.,_2018
Drosophila_willistoni	Dwil	Drosophilidae	Sophophora	Genome	C:99.6%[S:98.4%,D:1.2%],F:0.0%,M:0.4%	GCF_018902025.1	Ranz_et_al.,_2023
Drosophila_arizonae	Dari	Drosophilidae	Drosophila	Genome	C:95.7%[S:95.3%,D:0.4%],F:1.2%,M:3.1%	GCF_001654025.1	Sanchez-Flores_et_al.,_2016
Drosophila_hydei	Dhyd	Drosophilidae	Drosophila	Genome	C:99.7%[S:97.5%,D:2.2%],F:0.1%,M:0.2%	GCF_003285905.1	Dong_et_al.,_2022
Drosophila_grimshawi	Dgri	Drosophilidae	Drosophila	Genome	C:99.9%[S:99.2%,D:0.7%],F:0.0%,M:0.1%	GCF_018153295.1	Kim_et_al.,_2021
Drosophila_albomicans	Dalb	Drosophilidae	Drosophila	Genome	C:99.9%[S:99.1%,D:0.8%],F:0.0%,M:0.1%	GCF_009650485.2	Mai_et_al.,_2020
Drosophila_busckii	Dbus	Drosophilidae	Drosophila	Genome	C:98.1%[S:97.4%,D:0.7%],F:0.3%,M:1.6%	GCF_011750605.1	Renschler_et_al.,_2019
