Species	ID	Class	Group	Order	Type	BUSCO_statistics_(mammalia_odb10)	NCBI_acc._no.	Reference
Gallus_gallus	Ggal	Aves	Neognathae	Galliformes	Genome	C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%	GCF_016699485.2	Vertebrate_Genome_Project
Chrysochloris_asiatica	Casi	Mammalia	Afrotheria	Afroscoricida	Genome	C:98.0%[S:97.4%,D:0.6%],F:1.1%,M:0.9%	GCF_000296735.1	Murata_et_al.,_2003
Elephas_maximus_indicus	Emax	Mammalia	Afrotheria	Proboscidea	Genome	C:98.9%[S:98.3%,D:0.6%],F:0.4%,M:0.7%	GCF_024166365.1	Vertebrate_Genome_Project
Trichechus_manatus_latirostris	Tman	Mammalia	Afrotheria	Sirenia	Genome	C:96.1%[S:95.7%,D:0.4%],F:1.8%,M:2.1%	GCF_000243295.1	Foote_et_al.,_2015
Orycteropus_afer_afer	Oafe	Mammalia	Afrotheria	Tubulidentata	Genome	C:96.5%[S:96.0%,D:0.5%],F:1.9%,M:1.6%	GCF_000298275.1	???
Ochotona_princeps	Opri	Mammalia	Euarchontoglires	Lagomorpha	Genome	C:98.3%[S:96.4%,D:1.9%],F:0.5%,M:1.2%	GCF_030435755.1	Vertebrate_Genome_Project
Cebus_imitator	Cimi	Mammalia	Euarchontoglires	Primates	Genome	C:97.3%[S:95.1%,D:2.2%],F:1.7%,M:1.0%	GCF_001604975.1	Orkin_et_al.,_2021
Homo_sapiens	Hsap	Mammalia	Euarchontoglires	Primates	Genome	C:99.6%[S:97.3%,D:2.3%],F:0.2%,M:0.2%	GCF_000001405.40	Genome_Reference_Consortium
Lemur_catta	Lcat	Mammalia	Euarchontoglires	Primates	Genome	C:98.3%[S:97.2%,D:1.1%],F:0.4%,M:1.3%	GCF_020740605.2	Vertebrate_Genome_Project
Cavia_porcellus	Cpor	Mammalia	Euarchontoglires	Rodentia	Genome	C:96.4%[S:95.7%,D:0.7%],F:1.7%,M:1.9%	GCF_000151735.1	The_Genome_Sequencing_Platform
Mus_musculus	Mmus	Mammalia	Euarchontoglires	Rodentia	Genome	C:99.4%[S:98.7%,D:0.7%],F:0.2%,M:0.4%	GCF_000001635.27	Genome_Reference_Consortium
Sciurus_carolinensis	Scar	Mammalia	Euarchontoglires	Rodentia	Genome	C:99.1%[S:96.9%,D:2.2%],F:0.3%,M:0.6%	GCF_902686445.1	Mead_et_al.,_2020
Bubalus_bubalis	Bbub	Mammalia	Laurasiatheria	Artiodactyla	Genome	C:98.7%[S:97.0%,D:1.7%],F:0.6%,M:0.7%	GCF_019923935.1	Deng_et_al.,_2016
Balaenoptera_musculus	Bmus	Mammalia	Laurasiatheria	Artiodactyla	Genome	C:98.4%[S:95.7%,D:2.7%],F:0.6%,M:1.0%	GCF_009873245.2	Genome_10K
Camelus_dromedarius	Cdro	Mammalia	Laurasiatheria	Artiodactyla	Genome	C:98.7%[S:98.3%,D:0.4%],F:0.7%,M:0.6%	GCF_000803125.2	Elbers_et_al.,_2019
Hippopotamus_amphibius_kiboko	Hamp	Mammalia	Laurasiatheria	Artiodactyla	Genome	C:98.7%[S:95.2%,D:3.5%],F:0.5%,M:0.8%	GCF_030028045.1	Vertebrate_Genome_Project
Phacochoerus_africanus	Pafr	Mammalia	Laurasiatheria	Artiodactyla	Genome	C:98.8%[S:98.3%,D:0.5%],F:0.6%,M:0.6%	GCF_016906955.1	???
Tursiops_truncatus	Ttru	Mammalia	Laurasiatheria	Artiodactyla	Genome	C:97.3%[S:95.2%,D:2.1%],F:1.1%,M:1.6%	GCF_011762595.1	Xiong_et_al.,_2009
Ailuropoda_melanoleuca	Amel	Mammalia	Laurasiatheria	Carnivora	Genome	C:97.3%[S:96.6%,D:0.7%],F:1.3%,M:1.4%	GCF_002007445.2	Fan_et_al.,_2019
Canis_lupus_familiaris	Clup	Mammalia	Laurasiatheria	Carnivora	Genome	C:98.5%[S:96.7%,D:1.8%],F:0.6%,M:0.9%	GCF_011100685.1	Wang_et_al.,_2021
Mirounga_angustirostris	Mang	Mammalia	Laurasiatheria	Carnivora	Genome	C:96.7%[S:94.5%,D:2.2%],F:1.9%,M:1.4%	GCF_021288785.2	Moreno_et_al.,_2024
Panthera_tigris	Ptig	Mammalia	Laurasiatheria	Carnivora	Genome	C:99.4%[S:98.9%,D:0.5%],F:0.3%,M:0.3%	GCF_018350195.1	Bredemeyer_et_al.,_2023
Desmodus_rotundus	Drot	Mammalia	Laurasiatheria	Chiroptera	Genome	C:98.2%[S:97.2%,D:1.0%],F:0.5%,M:1.3%	GCF_022682495.1	Bat_1K
Pteropus_giganteus	Pgig	Mammalia	Laurasiatheria	Chiroptera	Genome	C:97.2%[S:96.9%,D:0.3%],F:1.1%,M:1.7%	GCF_902729225.1	Fouret_et_al.,_202
Rhinolophus_ferrumequinum	Rfer	Mammalia	Laurasiatheria	Chiroptera	Genome	C:99.2%[S:97.9%,D:1.3%],F:0.3%,M:0.5%	GCF_004115265.2	Vertebrate_Genome_Project
Ceratotherium_simum_simum	Csim	Mammalia	Laurasiatheria	Perissodactyla	Genome	C:98.8%[S:98.6%,D:0.2%],F:0.9%,M:0.3%	GCF_000283155.1	???
Equus_quagga	Equa	Mammalia	Laurasiatheria	Perissodactyla	Genome	C:98.5%[S:95.0%,D:3.5%],F:0.5%,M:1.0%	GCF_021613505.1	Vilstrup_et_al.,_2013
Manis_javanica	Mjav	Mammalia	Laurasiatheria	Pholidota	Genome	C:95.7%[S:93.7%,D:2.0%],F:1.9%,M:2.4%	GCF_014570535.1	???
Sarcophilus_harrisii	Shar	Mammalia	Metatheria	Dasyuromorphia	Genome	C:95.5%[S:94.5%,D:1.0%],F:0.9%,M:3.6%	GCF_902635505.1	Stammnitz_et_al.,_2023
Monodelphis_domestica	Mdom	Mammalia	Metatheria	Didelphimorphia	Genome	C:95.1%[S:92.3%,D:2.8%],F:0.9%,M:4.0%	GCF_027887165.1	Vertebrate_Genome_Project
Ornithorhynchus_anatinus	Oana	Mammalia	Prototheria	Monotremata	Genome	C:92.3%[S:91.2%,D:1.1%],F:1.4%,M:6.3%	GCF_004115215.2	Zhou_et_al.,_2021
Dasypus_novemcinctus	Dnov	Mammalia	Xenarthra	Cingulata	Genome	C:96.9%[S:94.3%,D:2.6%],F:0.7%,M:2.4%	GCF_030445035.1	Vertebrate_Genome_Project
Choloepus_didactylus	Cdid	Mammalia	Xenarthra	Pilosa	Genome	C:97.8%[S:91.9%,D:5.9%],F:0.7%,M:1.5%	GCF_015220235.1	Vertebrate_Genome_Project
